,score,decoding_accuracy,measure,dataset
0,0.3576318012998153,0.13265306122448978,procrustes-angular-score,ultrametric
1,0.3576318012998153,0.11224489795918365,procrustes-angular-score,ultrametric
2,0.40771630535119796,0.3061224489795918,procrustes-angular-score,ultrametric
3,0.4564923161071499,0.4591836734693877,procrustes-angular-score,ultrametric
4,0.5034297134920291,0.6428571428571428,procrustes-angular-score,ultrametric
5,0.5481764546899156,0.7448979591836734,procrustes-angular-score,ultrametric
6,0.5905426612076388,0.8673469387755101,procrustes-angular-score,ultrametric
7,0.6304236315459605,0.8775510204081631,procrustes-angular-score,ultrametric
8,0.667779106467441,0.9591836734693877,procrustes-angular-score,ultrametric
9,0.7026280297362117,0.9795918367346937,procrustes-angular-score,ultrametric
10,0.7350245344094362,0.9795918367346937,procrustes-angular-score,ultrametric
11,0.7650305584467736,0.9897959183673468,procrustes-angular-score,ultrametric
12,0.792697256810182,0.9693877551020407,procrustes-angular-score,ultrametric
13,0.8180627208874529,0.979591836734694,procrustes-angular-score,ultrametric
14,0.841156448868351,0.9897959183673469,procrustes-angular-score,ultrametric
15,0.8619999544705524,0.9795918367346937,procrustes-angular-score,ultrametric
16,0.8805961049942805,0.9795918367346937,procrustes-angular-score,ultrametric
17,0.8969317358713855,1.010204081632653,procrustes-angular-score,ultrametric
18,0.9110078714294976,1.0,procrustes-angular-score,ultrametric
19,0.9228746067630433,1.0,procrustes-angular-score,ultrametric
20,0.932636294818475,1.0,procrustes-angular-score,ultrametric
21,0.9404408246813952,1.0,procrustes-angular-score,ultrametric
22,0.9464836511514201,0.9795918367346937,procrustes-angular-score,ultrametric
23,0.9510078882706069,0.9897959183673469,procrustes-angular-score,ultrametric
24,0.9542768613494187,0.9795918367346937,procrustes-angular-score,ultrametric
25,0.9565629807688372,1.0,procrustes-angular-score,ultrametric
26,0.9581680679657413,1.0,procrustes-angular-score,ultrametric
27,0.9594160577145959,0.9897959183673469,procrustes-angular-score,ultrametric
28,0.9606028108837736,0.9897959183673468,procrustes-angular-score,ultrametric
29,0.9619511545191386,1.010204081632653,procrustes-angular-score,ultrametric
30,0.9636073878842274,1.0,procrustes-angular-score,ultrametric
31,0.9656540380747174,1.020408163265306,procrustes-angular-score,ultrametric
32,0.9680983315962463,0.9897959183673468,procrustes-angular-score,ultrametric
33,0.970866320767989,1.010204081632653,procrustes-angular-score,ultrametric
34,0.9738088008099881,1.0,procrustes-angular-score,ultrametric
35,0.9767227224054239,1.0,procrustes-angular-score,ultrametric
36,0.9793966667293816,0.9897959183673468,procrustes-angular-score,ultrametric
37,0.9816493272417711,1.0,procrustes-angular-score,ultrametric
38,0.9833694996077417,0.9897959183673468,procrustes-angular-score,ultrametric
39,0.9845225754496625,1.010204081632653,procrustes-angular-score,ultrametric
40,0.9851799204952448,0.9897959183673468,procrustes-angular-score,ultrametric
41,0.9855384626658859,1.0,procrustes-angular-score,ultrametric
42,0.9858451485207482,0.9897959183673468,procrustes-angular-score,ultrametric
43,0.9863078826966982,1.0,procrustes-angular-score,ultrametric
44,0.9870292493116106,1.010204081632653,procrustes-angular-score,ultrametric
45,0.9880126972435148,1.0,procrustes-angular-score,ultrametric
46,0.9891945881847761,0.9897959183673468,procrustes-angular-score,ultrametric
47,0.9904158099633754,1.0,procrustes-angular-score,ultrametric
0,0.2528098523616791,0.17708333333333331,cka,ultrametric
1,0.2528098523616791,0.14583333333333334,cka,ultrametric
2,0.3530304431915283,0.23958333333333337,cka,ultrametric
3,0.46893465518951416,0.4583333333333334,cka,ultrametric
4,0.5850186347961426,0.6354166666666666,cka,ultrametric
5,0.6845990419387817,0.6770833333333334,cka,ultrametric
6,0.7590426206588745,0.7708333333333334,cka,ultrametric
7,0.8104867339134216,0.8750000000000001,cka,ultrametric
8,0.845784068107605,0.8645833333333333,cka,ultrametric
9,0.8709892630577087,0.9270833333333334,cka,ultrametric
10,0.8899116516113281,0.9479166666666666,cka,ultrametric
11,0.9046427607536316,0.9791666666666665,cka,ultrametric
12,0.9162949919700623,0.96875,cka,ultrametric
13,0.9255118370056152,0.9791666666666667,cka,ultrametric
14,0.9327563643455505,1.0,cka,ultrametric
15,0.938447117805481,1.0,cka,ultrametric
16,0.9429919719696045,0.9895833333333334,cka,ultrametric
17,0.9467672109603882,1.0104166666666667,cka,ultrametric
18,0.9500870704650879,1.0104166666666667,cka,ultrametric
19,0.9531769752502441,0.9791666666666667,cka,ultrametric
20,0.9561651945114136,1.0104166666666667,cka,ultrametric
