variable,group,value
deepdive,cca-angular,-1.0
deepdive,cca-angular-score,-1.0
deepdive,cka,-1.0
deepdive,cka-angular,-1.0
deepdive,cka-angular-score,-1.0
deepdive,ensd,-1.0
deepdive,linreg,-1.0
deepdive,linreg-angular,-1.0
deepdive,linreg-angular-cv,-1.0
deepdive,linreg-cv,-1.0
deepdive,linreg-r2#5folds_cv,0.099392899476132
deepdive,linreg-r2#no_cv,-1.0
deepdive,nbs,-1.0
deepdive,nbs-angular,-1.0
deepdive,nbs-angular-score,-1.0
deepdive,nbs-squared,-1.0
deepdive,procrustes-angular,-1.0
deepdive,procrustes-angular#5folds_cv,-1.0
deepdive,procrustes-angular-cv,-1.0
deepdive,procrustes-angular-cv-score,-1.0
deepdive,procrustes-angular-score,-1.0
deepdive,procrustes-angular-score#5folds_cv,-1.0
deepdive,procrustes-euclidean,-1.0
deepdive,procrustes-euclidean-score,-1.0
deepdive,ridge-lambda1-r2#5folds_cv,0.017217612752253655
deepdive,ridge-lambda1-r2#no_cv,-1.0
deepdive,ridge-lambda10-r2#5folds_cv,-1.0
deepdive,ridge-lambda10-r2#no_cv,-1.0
deepdive,ridge-lambda100-r2#5folds_cv,-1.0
deepdive,ridge-lambda100-r2#no_cv,-1.0
deepdive,rsa-correlation-corr,-1.0
diffscore,cca-angular,0.0
diffscore,cca-angular-score,0.0
diffscore,cka,0.0
diffscore,cka-angular,0.0
diffscore,cka-angular-score,0.0
diffscore,ensd,0.0
diffscore,linreg,0.0
diffscore,linreg-angular,0.0
diffscore,linreg-angular-cv,0.024550605565309525
diffscore,linreg-cv,0.02332061342895031
diffscore,linreg-r2#5folds_cv,0.0
diffscore,linreg-r2#no_cv,1.3322676295501878e-17
diffscore,nbs,0.0
diffscore,nbs-angular,0.0
diffscore,nbs-angular-score,0.0
diffscore,nbs-squared,0.0
diffscore,procrustes-angular,0.0
diffscore,procrustes-angular#5folds_cv,0.0
diffscore,procrustes-angular-cv,0.008353033103048801
diffscore,procrustes-angular-cv-score,0.005959474015980959
diffscore,procrustes-angular-score,0.0
diffscore,procrustes-angular-score#5folds_cv,0.0
diffscore,procrustes-euclidean,0.0
diffscore,procrustes-euclidean-score,0.0
diffscore,ridge-lambda1-r2#5folds_cv,0.0
diffscore,ridge-lambda1-r2#no_cv,3.7747582837255325e-17
diffscore,ridge-lambda10-r2#5folds_cv,0.0
diffscore,ridge-lambda10-r2#no_cv,6.661338147750939e-18
diffscore,ridge-lambda100-r2#5folds_cv,0.0
diffscore,ridge-lambda100-r2#no_cv,4.440892098500626e-18
diffscore,rsa-correlation-corr,0.0
mklabunde,cca-angular,-1.0
mklabunde,cca-angular-score,-1.0
mklabunde,cka,-1.0
mklabunde,cka-angular,-1.0
mklabunde,cka-angular-score,-1.0
mklabunde,ensd,-1.0
mklabunde,linreg,-1.0
mklabunde,linreg-angular,-1.0
mklabunde,linreg-angular-cv,-1.0
mklabunde,linreg-cv,-1.0
mklabunde,linreg-r2#5folds_cv,-1.0
mklabunde,linreg-r2#no_cv,-1.0
mklabunde,nbs,2.6645352591003756e-16
mklabunde,nbs-angular,-1.0
mklabunde,nbs-angular-score,-1.0
mklabunde,nbs-squared,-1.0
mklabunde,procrustes-angular,2.1760371282653068e-16
mklabunde,procrustes-angular#5folds_cv,-1.0
mklabunde,procrustes-angular-cv,-1.0
mklabunde,procrustes-angular-cv-score,-1.0
mklabunde,procrustes-angular-score,1.0880185641326534e-16
mklabunde,procrustes-angular-score#5folds_cv,-1.0
mklabunde,procrustes-euclidean,8.455458555545192e-15
mklabunde,procrustes-euclidean-score,-1.0
mklabunde,ridge-lambda1-r2#5folds_cv,-1.0
mklabunde,ridge-lambda1-r2#no_cv,-1.0
mklabunde,ridge-lambda10-r2#5folds_cv,-1.0
mklabunde,ridge-lambda10-r2#no_cv,-1.0
mklabunde,ridge-lambda100-r2#5folds_cv,-1.0
mklabunde,ridge-lambda100-r2#no_cv,-1.0
mklabunde,rsa-correlation-corr,-1.0
netrep,cca-angular,1.9539925233402755e-16
netrep,cca-angular-score,1.3988810110276973e-16
netrep,cka,7.216449660063518e-17
netrep,cka-angular,8.43769498715119e-17
netrep,cka-angular-score,4.884981308350689e-17
netrep,ensd,-1.0
netrep,linreg,-1.0
netrep,linreg-angular,-1.0
netrep,linreg-angular-cv,-1.0
netrep,linreg-cv,-1.0
netrep,linreg-r2#5folds_cv,-1.0
netrep,linreg-r2#no_cv,-1.0
netrep,nbs,2.742250870824137e-16
netrep,nbs-angular,-1.0
netrep,nbs-angular-score,-1.0
netrep,nbs-squared,-1.0
netrep,procrustes-angular,1.9095836023552692e-16
netrep,procrustes-angular#5folds_cv,-1.0
netrep,procrustes-angular-cv,-1.0
netrep,procrustes-angular-cv-score,-1.0
netrep,procrustes-angular-score,1.3100631690576846e-16
netrep,procrustes-angular-score#5folds_cv,-1.0
netrep,procrustes-euclidean,8.881784197001252e-15
netrep,procrustes-euclidean-score,-1.0
netrep,ridge-lambda1-r2#5folds_cv,-1.0
netrep,ridge-lambda1-r2#no_cv,-1.0
netrep,ridge-lambda10-r2#5folds_cv,-1.0
netrep,ridge-lambda10-r2#no_cv,-1.0
netrep,ridge-lambda100-r2#5folds_cv,-1.0
netrep,ridge-lambda100-r2#no_cv,-1.0
netrep,rsa-correlation-corr,-1.0
nn_similarity_index,cca-angular,-1.0
nn_similarity_index,cca-angular-score,-1.0
nn_similarity_index,cka,4.662936703425657e-17
nn_similarity_index,cka-angular,9.769962616701378e-17
nn_similarity_index,cka-angular-score,7.105427357601002e-17
nn_similarity_index,ensd,-1.0
nn_similarity_index,linreg,-1.0
nn_similarity_index,linreg-angular,-1.0
nn_similarity_index,linreg-angular-cv,-1.0
nn_similarity_index,linreg-cv,-1.0
nn_similarity_index,linreg-r2#5folds_cv,-1.0
nn_similarity_index,linreg-r2#no_cv,-1.0
nn_similarity_index,nbs,1.3132527093562274e-08
nn_similarity_index,nbs-angular,-1.0
nn_similarity_index,nbs-angular-score,-1.0
nn_similarity_index,nbs-squared,-1.0
nn_similarity_index,procrustes-angular,1.4556654752695409e-08
nn_similarity_index,procrustes-angular#5folds_cv,-1.0
nn_similarity_index,procrustes-angular-cv,-1.0
nn_similarity_index,procrustes-angular-cv-score,-1.0
nn_similarity_index,procrustes-angular-score,9.268971619125211e-09
nn_similarity_index,procrustes-angular-score#5folds_cv,-1.0
nn_similarity_index,procrustes-euclidean,3.5129674543554754e-07
nn_similarity_index,procrustes-euclidean-score,-1.0
nn_similarity_index,ridge-lambda1-r2#5folds_cv,-1.0
nn_similarity_index,ridge-lambda1-r2#no_cv,-1.0
nn_similarity_index,ridge-lambda10-r2#5folds_cv,-1.0
nn_similarity_index,ridge-lambda10-r2#no_cv,-1.0
nn_similarity_index,ridge-lambda100-r2#5folds_cv,-1.0
nn_similarity_index,ridge-lambda100-r2#no_cv,-1.0
nn_similarity_index,rsa-correlation-corr,-1.0
repsim,cca-angular,3.628333308025589e-08
repsim,cca-angular-score,3.3135729204936124e-08
repsim,cka,-1.0
repsim,cka-angular,-1.0
repsim,cka-angular-score,-1.0
repsim,ensd,-1.0
repsim,linreg,-1.0
repsim,linreg-angular,-1.0
repsim,linreg-angular-cv,-1.0
repsim,linreg-cv,-1.0
repsim,linreg-r2#5folds_cv,-1.0
repsim,linreg-r2#no_cv,-1.0
repsim,nbs,4.2280726438859164e-08
repsim,nbs-angular,-1.0
repsim,nbs-angular-score,-1.0
repsim,nbs-squared,-1.0
