,score,decoding_accuracy,measure,dataset
0,0.28865210447693035,0.37553445901876953,procrustes-angular-score,Mante2013
1,0.28865210447693035,0.3671461700123197,procrustes-angular-score,Mante2013
2,0.3381956935298095,0.4770273208203493,procrustes-angular-score,Mante2013
3,0.38697311416831814,0.5789549967388941,procrustes-angular-score,Mante2013
4,0.4343259938185067,0.6281252264656859,procrustes-angular-score,Mante2013
5,0.47984703467299517,0.6703203130661642,procrustes-angular-score,Mante2013
6,0.5233009101394495,0.6870244220595696,procrustes-angular-score,Mante2013
7,0.5645712940237713,0.7134756141749403,procrustes-angular-score,Mante2013
8,0.6036211715710035,0.7197079498514385,procrustes-angular-score,Mante2013
9,0.6404636813842519,0.7324443800275383,procrustes-angular-score,Mante2013
10,0.6751405528889298,0.7401804478585404,procrustes-angular-score,Mante2013
11,0.7077069052803681,0.7459598521632003,procrustes-angular-score,Mante2013
12,0.7382206671750307,0.7480976882382782,procrustes-angular-score,Mante2013
13,0.7667354335930847,0.7533154576418581,procrustes-angular-score,Mante2013
14,0.7932964579545603,0.7555801145010508,procrustes-angular-score,Mante2013
15,0.8179392251492409,0.7605080078266541,procrustes-angular-score,Mante2013
16,0.8406891823192828,0.7597652003768389,procrustes-angular-score,Mante2013
17,0.861562069488615,0.7601818972389303,procrustes-angular-score,Mante2013
18,0.8805632574297385,0.7595477933183564,procrustes-angular-score,Mante2013
19,0.8976854724869805,0.7623559678237554,procrustes-angular-score,Mante2013
20,0.9129037967567738,0.7701826219291252,procrustes-angular-score,Mante2013
21,0.9261685500007346,0.7646387419378216,procrustes-angular-score,Mante2013
22,0.937400653149306,0.7658344807594752,procrustes-angular-score,Mante2013
23,0.9464993355654682,0.7679541995796797,procrustes-angular-score,Mante2013
24,0.9533817078503206,0.7680447858540473,procrustes-angular-score,Mante2013
25,0.9580725796010938,0.757192550184796,procrustes-angular-score,Mante2013
26,0.960815218918382,0.7703275599681136,procrustes-angular-score,Mante2013
27,0.9621041888446206,0.765218494093775,procrustes-angular-score,Mante2013
28,0.9625726532408521,0.771541416044641,procrustes-angular-score,Mante2013
29,0.9628137138352469,0.7730994999637655,procrustes-angular-score,Mante2013
30,0.9632651924131173,0.7674106819334734,procrustes-angular-score,Mante2013
31,0.9641877364984877,0.7673382129139793,procrustes-angular-score,Mante2013
32,0.9656937825925992,0.7619392709616639,procrustes-angular-score,Mante2013
33,0.9677868519564838,0.7657620117399813,procrustes-angular-score,Mante2013
34,0.9703920067925004,0.7630806580186971,procrustes-angular-score,Mante2013
35,0.9733744072771807,0.767863613305312,procrustes-angular-score,Mante2013
36,0.9765461184839006,0.7676643235017031,procrustes-angular-score,Mante2013
37,0.9796635483546899,0.7739147764330749,procrustes-angular-score,Mante2013
38,0.9824267732361435,0.7704181462424814,procrustes-angular-score,Mante2013
39,0.9845154285644773,0.7695122834988043,procrustes-angular-score,Mante2013
40,0.9857127695317046,0.7691499384013334,procrustes-angular-score,Mante2013
41,0.986081557088503,0.7671389231103705,procrustes-angular-score,Mante2013
42,0.9859855069168204,0.7730994999637655,procrustes-angular-score,Mante2013
43,0.9858782884997443,0.7598195521414596,procrustes-angular-score,Mante2013
44,0.9860962885465954,0.7668852815421408,procrustes-angular-score,Mante2013
45,0.9867940574909427,0.7675918544822089,procrustes-angular-score,Mante2013
46,0.9879612230931913,0.769639104282919,procrustes-angular-score,Mante2013
47,0.9894503971152498,0.7711066019276759,procrustes-angular-score,Mante2013
48,0.9909868131435023,0.7687513587941155,procrustes-angular-score,Mante2013
0,0.07200517505407333,0.38155231002819756,cka,Mante2013
1,0.07200517505407333,0.38379365194129134,cka,Mante2013
2,0.2413332611322403,0.5168462150242209,cka,Mante2013
3,0.4981722831726074,0.559811293471188,cka,Mante2013
4,0.71690833568573,0.5884968548911865,cka,Mante2013
5,0.8336971402168274,0.6069336996601836,cka,Mante2013
6,0.8918020129203796,0.6168209095510085,cka,Mante2013
7,0.9237880706787109,0.6454341696189719,cka,Mante2013
8,0.9426811933517456,0.6605270768563373,cka,Mante2013
9,0.9542397260665894,0.6591533511676669,cka,Mante2013
10,0.9614940881729126,0.6718783891258767,cka,Mante2013
11,0.966193437576294,0.6793254283855108,cka,Mante2013
12,0.9693811535835266,0.6854168172944834,cka,Mante2013
13,0.971674382686615,0.6874412551514714,cka,Mante2013
14,0.97343510389328,0.6931530619622587,cka,Mante2013
15,0.9748767614364624,0.7007808546019811,cka,Mante2013
16,0.9761176109313965,0.6992986768852578,cka,Mante2013
17,0.9772229790687561,0.7053358397802039,cka,Mante2013
18,0.9782307147979736,0.7041247921336129,cka,Mante2013
19,0.9791569709777832,0.7115356807172295,cka,Mante2013
20,0.9800137281417847,0.7082821198756417,cka,Mante2013
21,0.9808079600334167,0.7084809485937387,cka,Mante2013
22,0.9815480709075928,0.7118429614633793,cka,Mante2013
23,0.9822371602058411,0.7203202949895163,cka,Mante2013
24,0.9828822612762451,0.7219832260863279,cka,Mante2013
25,0.9834838509559631,0.7177535969922639,cka,Mante2013
26,0.9840467572212219,0.7231581230569012,cka,Mante2013
27,0.9845715165138245,0.7219290000723013,cka,Mante2013
28,0.9850591421127319,0.7235377051550864,cka,Mante2013
29,0.9855105876922607,0.7259236497722508,cka,Mante2013
30,0.9859269857406616,0.7244233967175187,cka,Mante2013
31,0.9863123297691345,0.7267731906586654,cka,Mante2013
32,0.9866706132888794,0.7354493529028994,cka,Mante2013
33,0.987006664276123,0.7290687585857856,cka,Mante2013
34,0.9873244762420654,0.728924155881715,cka,Mante2013
35,0.9876255989074707,0.7333345383558671,cka,Mante2013
36,0.987916111946106,0.7235196298170776,cka,Mante2013
37,0.9882016181945801,0.7395524546309016,cka,Mante2013
38,0.9884781837463379,0.7398958860530691,cka,Mante2013
39,0.988750696182251,0.7444689465693008,cka,Mante2013
40,0.9890178442001343,0.7337683464680789,cka,Mante2013
41,0.9892805814743042,0.739407851926831,cka,Mante2013
42,0.98953777551651,0.7402573928132457,cka,Mante2013
43,0.9897888898849487,0.7415768924878896,cka,Mante2013
44,0.9900335669517517,0.7456980695539006,cka,Mante2013
