,score,decoding_accuracy,measure,dataset
0,0.16054151952266693,0.7238095238095238,cka,FreemanZiemba2013
1,0.16054151952266693,0.6666666666666666,cka,FreemanZiemba2013
2,0.2871764898300171,0.7000000000000001,cka,FreemanZiemba2013
3,0.4568687379360199,0.7285714285714285,cka,FreemanZiemba2013
4,0.6245409846305847,0.738095238095238,cka,FreemanZiemba2013
5,0.7445619702339172,0.8,cka,FreemanZiemba2013
6,0.815451443195343,0.7904761904761903,cka,FreemanZiemba2013
7,0.8573769330978394,0.8,cka,FreemanZiemba2013
8,0.8842924237251282,0.7714285714285714,cka,FreemanZiemba2013
9,0.902863085269928,0.8047619047619047,cka,FreemanZiemba2013
10,0.9162768125534058,0.8238095238095238,cka,FreemanZiemba2013
11,0.9262760281562805,0.8238095238095237,cka,FreemanZiemba2013
12,0.933967649936676,0.8238095238095239,cka,FreemanZiemba2013
13,0.9401050806045532,0.9095238095238095,cka,FreemanZiemba2013
14,0.9452173709869385,0.8380952380952381,cka,FreemanZiemba2013
15,0.9496544003486633,0.8857142857142857,cka,FreemanZiemba2013
16,0.9536316394805908,0.9095238095238095,cka,FreemanZiemba2013
17,0.957264244556427,0.8857142857142857,cka,FreemanZiemba2013
18,0.9606038928031921,0.8857142857142857,cka,FreemanZiemba2013
19,0.9636616706848145,0.9238095238095237,cka,FreemanZiemba2013
20,0.966434895992279,0.8999999999999999,cka,FreemanZiemba2013
21,0.9689193964004517,0.942857142857143,cka,FreemanZiemba2013
22,0.9711228013038635,0.8809523809523808,cka,FreemanZiemba2013
23,0.9730638861656189,0.8904761904761905,cka,FreemanZiemba2013
24,0.9747780561447144,0.9142857142857141,cka,FreemanZiemba2013
25,0.9763041734695435,0.9047619047619048,cka,FreemanZiemba2013
26,0.9776843190193176,0.8857142857142858,cka,FreemanZiemba2013
27,0.9789573550224304,0.9047619047619048,cka,FreemanZiemba2013
28,0.9801505208015442,0.9238095238095237,cka,FreemanZiemba2013
29,0.9812840223312378,0.895238095238095,cka,FreemanZiemba2013
30,0.9823674559593201,0.9047619047619048,cka,FreemanZiemba2013
31,0.9834014177322388,0.9285714285714285,cka,FreemanZiemba2013
32,0.9843851923942566,0.9047619047619048,cka,FreemanZiemba2013
33,0.9853140115737915,0.9619047619047618,cka,FreemanZiemba2013
34,0.986183226108551,0.9142857142857143,cka,FreemanZiemba2013
35,0.986991286277771,0.9571428571428572,cka,FreemanZiemba2013
36,0.9877409934997559,0.9238095238095239,cka,FreemanZiemba2013
37,0.9884325861930847,0.9380952380952381,cka,FreemanZiemba2013
38,0.9890731573104858,0.942857142857143,cka,FreemanZiemba2013
39,0.9896682500839233,0.9476190476190475,cka,FreemanZiemba2013
40,0.9902242422103882,0.9333333333333332,cka,FreemanZiemba2013
0,0.3308925050625169,0.6507177033492821,procrustes-angular-score,FreemanZiemba2013
1,0.3308925050625169,0.6267942583732057,procrustes-angular-score,FreemanZiemba2013
2,0.37997067188369427,0.631578947368421,procrustes-angular-score,FreemanZiemba2013
3,0.42822361843157675,0.7559808612440192,procrustes-angular-score,FreemanZiemba2013
4,0.4750310699116036,0.8133971291866028,procrustes-angular-score,FreemanZiemba2013
5,0.5200156377653062,0.7894736842105263,procrustes-angular-score,FreemanZiemba2013
6,0.5629537213364184,0.8181818181818181,procrustes-angular-score,FreemanZiemba2013
7,0.6037202420995619,0.8755980861244019,procrustes-angular-score,FreemanZiemba2013
